timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 19:24:00.099, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.199, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.300, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.401, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.501, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.601, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.702, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.802, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:00.902, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.002, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.103, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.203, 22.21 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.303, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.409, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.509, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.609, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.709, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.810, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:01.910, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.010, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.110, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.211, 22.00 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.311, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.411, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.512, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.612, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.712, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.812, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:02.913, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.013, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.113, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.213, 21.75 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.314, 21.82 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.414, 21.82 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.519, 21.82 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.619, 21.82 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.733, 21.82 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:24:03.834, 36.92 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:03.934, 36.92 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.034, 36.92 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.134, 36.92 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.234, 36.92 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.334, 95.86 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.434, 95.86 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.535, 95.86 W, 55 %, 25 %, 19691 MiB, 3, 16
2026/04/01 19:24:04.635, 95.86 W, 55 %, 25 %, 19691 MiB, 3, 16
