timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 21:54:09.507, 293.90 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.607, 293.90 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.707, 293.90 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.807, 293.90 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.908, 293.90 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.008, 309.35 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.108, 309.35 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.208, 309.35 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.308, 309.35 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.408, 309.35 W, 65 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.508, 310.29 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.609, 310.29 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.709, 310.29 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.809, 310.29 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:10.909, 310.29 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:11.009, 282.55 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:11.110, 282.55 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:11.210, 282.55 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:11.310, 282.55 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:11.411, 282.55 W, 92 %, 49 %, 20645 MiB, 3, 16
2026/04/01 21:54:11.511, 210.96 W, 0 %, 0 %, 20645 MiB, 3, 16
